player_id,player,team,league,season,age,nationality,minutes,goals_per90,assists_per90,ga_nopk_per90,shots,shots_on_target,goals_per_shot,tackles,interceptions,fouls_drawn,crosses_per90,progressive_passes_per90,key_passes_per90,pass_completion_pct,sca_per90,passes_final_third_total,xa_per90,np_xg_per90,xg_chain,xg_buildup,cluster,pc1,pc2,similarity_to_kroos
Aaron Lennon_2019-20,Aaron Lennon,Burnley,Premier League,2019-20,32,ENG,496,0.0,0.0,0.0,0.18,0.0,0.0,1.6364,1.2727,1.2727,1.4545,0.0794,0.0227,66.1,1.27,5.0,0.0287,0.0044,0.2908954042941332,0.1086503993719816,,,,
Aaron Mooy_2019-20,Aaron Mooy,Brighton,Premier League,2019-20,28,AUS,2085,0.09,0.09,0.17,1.42,0.35,0.06,1.0776,0.9914,0.4741,4.6121,0.22,0.0543,74.9,3.37,87.0,0.1616,0.1085,8.611671870574355,4.264197228476405,0.0,0.0911,0.6962,0.735
Aaron Ramsey_2019-20,Aaron Ramsey,Juventus,Serie A,2019-20,28,WAL,1051,0.26,0.09,0.34,2.4,0.77,0.11,1.2821,0.9402,1.5385,1.5385,0.2069,0.0714,85.9,4.19,59.0,0.1032,0.2197,6.555631205439568,3.480691362172365,0.0,0.9612,0.9683,0.7297
Aaron Wan-Bissaka_2019-20,Aaron Wan-Bissaka,Manchester Utd,Premier League,2019-20,21,COD,3070,0.0,0.12,0.12,0.21,0.03,0.0,2.4047,1.9062,0.5572,2.9912,0.1122,0.0209,78.6,1.5,102.0,0.1024,0.0239,14.165588987991214,11.521173445507884,1.0,-2.932,0.392,0.5233
Aarón Martín_2019-20,Aarón Martín,Mainz 05,Bundesliga,2019-20,22,ESP,1792,0.0,0.0,0.0,0.45,0.15,0.0,0.7035,1.608,0.603,6.7839,0.1004,0.0731,71.6,2.71,33.0,0.1634,0.0148,3.658402419649065,2.195272685959935,1.0,-0.9522,-0.034,0.5756
Abdallah N'dour_2019-20,Abdallah N'dour,Strasbourg,Ligue 1,2019-20,25,SEN,373,0.0,0.0,0.0,0.0,0.0,0.0,1.2195,0.9756,1.2195,5.3659,0.5228,0.2413,70.6,2.41,5.0,0.0,0.0,0.0,0.0,,,,
Abdallahi Mahmoud_2019-20,Abdallahi Mahmoud,Alavés,La Liga,2019-20,19,MTN,152,0.0,0.0,0.0,0.0,0.0,0.0,2.3529,3.5294,2.3529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Abdelhamid Sabiri_2019-20,Abdelhamid Sabiri,Paderborn 07,Bundesliga,2019-20,22,MAR,1048,0.34,0.09,0.34,3.69,1.2,0.07,1.3793,0.6034,2.1552,0.2586,0.1503,0.025,79.0,3.09,42.0,0.0201,0.2337,1.6447697971016169,0.885899399407208,2.0,1.3953,-1.149,0.5634
Abdoul Kader Bamba_2019-20,Abdoul Kader Bamba,Nantes,Ligue 1,2019-20,25,FRA,1468,0.06,0.18,0.25,1.1,0.55,0.06,0.9816,0.7362,2.9448,3.3742,0.1317,0.084,78.0,4.54,34.0,0.2679,0.1177,8.647124638780951,4.734392653219402,0.0,1.0833,1.1522,0.7112
Abdoulaye Doucouré_2019-20,Abdoulaye Doucouré,Watford,Premier League,2019-20,26,MLI,3156,0.11,0.06,0.17,1.74,0.37,0.07,0.9402,0.9117,0.4274,0.7407,0.1241,0.0293,77.1,2.71,120.0,0.1164,0.1505,13.54045701213181,7.193621378391981,2.0,0.0358,-0.7792,0.6414
Abdoulaye Touré_2019-20,Abdoulaye Touré,Nantes,Ligue 1,2019-20,25,GUI,2221,0.12,0.0,0.04,1.38,0.41,0.03,0.8502,1.1336,2.1457,0.3239,0.1951,0.0255,83.7,1.66,108.0,0.0431,0.0415,6.638782552443445,5.639007456600666,1.0,-1.2829,-0.1869,0.6568
Abdul Majeed Waris_2019-20,Abdul Majeed Waris,Strasbourg,Ligue 1,2019-20,27,GHA,371,0.49,0.24,0.73,1.46,0.49,0.33,0.9756,0.9756,4.878,1.7073,0.2426,0.1733,70.9,1.94,2.0,0.0,0.0,0.0,0.0,,,,
Abou Ouattara_2019-20,Abou Ouattara,Lille,Ligue 1,2019-20,19,BFA,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Achraf Hakimi_2019-20,Achraf Hakimi,Dortmund,Bundesliga,2019-20,20,MAR,2715,0.17,0.33,0.5,1.26,0.66,0.13,1.3576,0.9603,1.6556,3.0795,0.1688,0.0352,83.5,3.08,115.0,0.1825,0.1678,24.1443731226027,16.293885316699743,0.0,0.6419,1.0702,0.7156
Adam Bodzek_2019-20,Adam Bodzek,Düsseldorf,Bundesliga,2019-20,33,GER,2015,0.0,0.0,0.0,0.4,0.18,0.0,1.1161,1.2054,1.4286,0.0893,0.118,0.0128,80.4,1.12,59.0,0.0121,0.0312,2.535295134410262,1.791961519047618,1.0,-2.428,-0.9317,0.5612
Adam Lallana_2019-20,Adam Lallana,Liverpool,Premier League,2019-20,31,ENG,382,0.24,0.24,0.47,1.18,0.24,0.2,2.1429,0.9524,1.9048,0.7143,0.3613,0.0628,84.2,1.88,24.0,0.1556,0.1925,3.7205097936093807,2.3135495111346245,,,,
Adam Marušić_2019-20,Adam Marušić,Lazio,Serie A,2019-20,26,MNE,942,0.19,0.1,0.29,1.05,0.76,0.18,0.5714,1.2381,1.0476,1.2381,0.0573,0.0446,84.1,1.82,3.0,0.0,0.0,0.0,0.0,1.0,-0.846,-0.858,0.5775
Adam Ounas_2019-20,Adam Ounas,Nice,Ligue 1,2019-20,22,ALG,1123,0.16,0.32,0.48,1.68,0.72,0.1,0.48,0.8,2.32,4.24,0.2605,0.1252,75.1,4.25,25.0,0.2516,0.1691,6.160188166424632,1.7842974960803986,3.0,2.884,2.7245,0.7195
Adama Traoré_2019-20,Adama Traoré,Wolves,Premier League,2019-20,23,ESP,2605,0.14,0.31,0.45,1.49,0.41,0.09,0.6574,0.6228,2.6644,6.2976,0.0822,0.0448,64.5,3.83,55.0,0.2613,0.1283,15.272289365530014,5.655399796552956,2.0,2.1203,-0.5221,0.5771
Adama Traoré_2019-20,Adama Traoré,Wolves,Premier League,2019-20,23,ESP,2605,0.14,0.31,0.45,1.49,0.41,0.09,0.6574,0.6228,2.6644,6.2976,0.0822,0.0448,64.5,3.83,55.0,0.2613,0.1283,15.272289365530014,5.655399796552956,3.0,3.5768,5.0867,0.5571
Adama Traoré_2019-20,Adama Traoré,Metz,Ligue 1,2019-20,24,MLI,1007,0.09,0.36,0.45,1.52,0.36,0.06,0.0893,0.4464,2.9464,3.9286,0.3575,0.2085,81.4,5.45,38.0,0.2033,0.1216,3.349742711521685,1.8585100714117289,2.0,2.1203,-0.5221,0.5771
