player,comp,season,Progressive Passes,Key passes,Pass completion %,Shot creating actions p 90,1/3,Matches Played,Avg Mins per Match
Aaron Ramsey,Premier League,2017-18,134.0,28.0,83.4,3.07,102.0,24,76.91666666666667
Ainsley Maitland-Niles,Premier League,2017-18,35.0,8.0,82.8,1.77,37.0,15,60.93333333333333
Alex Iwobi,Premier League,2017-18,138.0,36.0,85.1,4.03,93.0,26,70.38461538461539
Alex Oxlade-Chamberlain,Premier League,2017-18,16.0,5.0,78.5,4.85,12.0,3,80.33333333333333
Alexandre Lacazette,Premier League,2017-18,59.0,36.0,75.0,3.88,18.0,32,68.8125
Alexis Sánchez,Premier League,2017-18,149.0,50.0,69.4,7.31,56.0,19,79.10526315789474
Calum Chambers,Premier League,2017-18,43.0,2.0,82.7,0.94,30.0,12,72.16666666666667
Danny Welbeck,Premier League,2017-18,23.0,13.0,79.5,3.17,7.0,28,42.642857142857146
David Ospina,Premier League,2017-18,0.0,0.0,75.0,0.0,0.0,5,76.2
Eddie Nketiah,Premier League,2017-18,0.0,0.0,85.7,0.0,0.0,3,6.666666666666667
Francis Coquelin,Premier League,2017-18,11.0,1.0,82.3,1.13,8.0,7,24.142857142857142
Granit Xhaka,Premier League,2017-18,424.0,39.0,84.8,3.12,358.0,38,85.78947368421052
Henrikh Mkhitaryan,Premier League,2017-18,55.0,16.0,73.8,3.29,31.0,11,72.18181818181819
Hector Bellerin,Premier League,2017-18,134.0,32.0,83.6,2.51,82.0,35,87.17142857142858
Jack Wilshere,Premier League,2017-18,108.0,15.0,85.6,3.7,64.0,20,59.65
Joe Willock,Premier League,2017-18,1.0,0.0,77.5,0.0,4.0,2,41.0
Konstantinos Mavropanos,Premier League,2017-18,5.0,0.0,88.3,0.0,6.0,3,65.0
Laurent Koscielny,Premier League,2017-18,124.0,7.0,88.6,0.65,137.0,25,89.0
Mesut Özil,Premier League,2017-18,277.0,84.0,83.0,6.7,183.0,26,83.1923076923077
Mohamed Elneny,Premier League,2017-18,74.0,10.0,92.6,2.6,73.0,13,66.6923076923077
Nacho Monreal,Premier League,2017-18,138.0,13.0,88.3,1.16,117.0,28,80.10714285714286
