rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season,Current Age
1,Ben White,ENG,DF,Arsenal,ENG-Premier League,26.0,1997.0,17,1198,0,2,2,0,0,0.5,0.5,23.0,59.0,0.0,0.15,20.0,14.0,42.1,8.0,2.0,16.0,44.0,0.0,0,0.0,0,0.0,0,0.0,0.0,580.0,692.0,83.8,2998.0,91.7,84.8,48.0,10.0,55.0,11.0,55.0,6.0,0.0,5.0,23.0,16.0,4.0,10.0,0,9.0,22.2,0.68,0.0,0.0,66.7,1.73,0.15,0,2024-25,29.0
2,Bukayo Saka,ENG,"FW,MF",Arsenal,ENG-Premier League,22.0,2001.0,25,1729,6,10,16,5,1,6.8,6.0,96.0,70.0,0.31,0.52,29.0,15.0,54.2,0.0,22.0,3.0,8.0,0.0,0,0.0,0,0.0,0,0.0,0.0,552.0,731.0,75.5,2487.0,90.0,72.0,48.9,58.0,15.0,38.0,6.0,90.0,45.6,37.0,96.0,32.0,51.0,34.0,6,66.0,33.3,3.44,0.08,0.23,33.3,6.09,1.2,0,2024-25,25.0
3,David Raya,ESP,GK,Arsenal,ENG-Premier League,28.0,1995.0,38,3420,0,0,0,0,0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,9.0,0,0.0,0,0.0,0,0.0,0.0,1040.0,1413.0,73.6,17222.0,99.0,98.0,37.7,1.0,45.0,3.0,880.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0,0.0,,0.0,,,100.0,0.13,0.03,0,2024-25,31.0
4,Declan Rice,ENG,MF,Arsenal,ENG-Premier League,25.0,1999.0,35,2825,4,7,11,4,0,3.5,3.5,90.0,192.0,0.13,0.22,53.0,25.0,41.5,13.0,14.0,25.0,51.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1376.0,1650.0,83.4,6234.0,92.0,90.5,48.8,59.0,137.0,35.0,82.0,29.0,48.3,14.0,90.0,58.0,16.0,36.0,4,48.0,29.2,1.53,0.08,0.29,59.7,3.54,0.32,0,2024-25,27.0
5,Ethan Nwaneri,ENG,"FW,MF",Arsenal,ENG-Premier League,17.0,2007.0,26,895,4,2,6,4,0,1.2,1.2,46.0,33.0,0.4,0.2,11.0,7.0,33.3,2.0,6.0,2.0,4.0,1.0,0,0.0,0,0.0,0,0.0,0.0,342.0,425.0,80.5,1216.0,92.3,76.9,51.4,16.0,17.0,16.0,3.0,62.0,59.7,19.0,46.0,25.0,17.0,23.0,4,24.0,37.5,2.41,0.17,0.44,33.3,2.91,0.3,0,2024-25,19.0
6,Gabriel Jesus,BRA,FW,Arsenal,ENG-Premier League,27.0,1997.0,17,608,3,0,3,3,0,3.0,3.0,15.0,19.0,0.44,0.0,10.0,6.0,44.4,1.0,9.0,4.0,8.0,0.0,0,0.0,0,0.0,0,0.0,0.0,156.0,203.0,76.8,378.0,80.5,87.2,66.7,8.0,10.0,9.0,9.0,22.0,40.9,10.0,15.0,6.0,11.0,13.0,3,20.0,35.0,2.96,0.15,0.43,33.3,2.66,0.59,0,2024-25,29.0
7,Gabriel Magalhães,BRA,DF,Arsenal,ENG-Premier League,26.0,1997.0,28,2363,3,1,4,3,0,2.6,2.6,10.0,126.0,0.11,0.04,25.0,15.0,75.0,29.0,13.0,16.0,93.0,2.0,0,0.0,0,0.0,0,0.0,0.0,1480.0,1641.0,90.2,7938.0,96.9,94.2,53.9,13.0,145.0,8.0,189.0,5.0,80.0,1.0,10.0,22.0,0.0,9.0,3,22.0,22.7,0.84,0.14,0.6,58.9,1.33,0.23,0,2024-25,29.0
8,Gabriel Martinelli,BRA,"FW,MF",Arsenal,ENG-Premier League,23.0,2001.0,33,2290,8,4,12,8,0,7.4,7.4,124.0,52.0,0.31,0.16,23.0,15.0,30.4,0.0,15.0,5.0,19.0,0.0,0,0.0,0,0.0,0,0.0,0.0,499.0,699.0,71.4,1534.0,84.2,69.9,50.0,40.0,11.0,37.0,17.0,109.0,30.3,60.0,124.0,33.0,64.0,50.0,8,55.0,43.6,2.16,0.15,0.33,30.4,2.91,0.27,0,2024-25,25.0
9,Jakub Kiwior,POL,DF,Arsenal,ENG-Premier League,24.0,2000.0,17,1122,1,0,1,1,0,0.2,0.2,5.0,48.0,0.08,0.0,22.0,8.0,73.3,8.0,5.0,6.0,58.0,3.0,0,0.0,0,0.0,0,0.0,0.0,673.0,736.0,91.4,3392.0,94.6,95.2,56.6,5.0,65.0,3.0,100.0,5.0,60.0,2.0,5.0,7.0,1.0,3.0,1,3.0,33.3,0.24,0.33,1.0,45.8,0.64,0.0,0,2024-25,26.0
10,Jorginho,ITA,MF,Arsenal,ENG-Premier League,32.0,1991.0,15,704,0,0,0,0,0,0.1,0.1,12.0,48.0,0.0,0.0,12.0,4.0,40.0,0.0,3.0,7.0,2.0,2.0,0,0.0,0,0.0,0,0.0,0.0,411.0,474.0,86.7,1609.0,91.5,88.4,58.3,3.0,44.0,10.0,9.0,4.0,25.0,2.0,12.0,13.0,0.0,12.0,0,2.0,0.0,0.26,0.0,,14.3,1.54,0.0,0,2024-25,35.0
